station,location,type,capacity (mw),commissioned
Kipevu I Thermal Power Station,4°2′S 39°38′E﻿ ,Heavy fuel oil,63,
Tsavo Thermal Power Station,4°2′S 39°38′E﻿ ,Heavy fuel oil,75,2001
Nairobi South Thermal Power Station,1°17′S 36°49′E﻿ ,Heavy fuel oil,109,1997
Gulf Energy Thermal Power Station,01°27′30″S 37°00′14″E﻿ ,Heavy fuel oil,80,2014
Lamu Coal Power Station,2°17′S 40°51′E﻿ ,Coal,960,In development
Biojoule Thermal Power Station,0°42′S 36°26′E﻿ ,Biogas,2.6,2015
Baringo Thermal Power Station,0°31′S 35°45′E﻿ ,Biogas,10.8,2015
Thika Thermal Power Station,03°56′S 39°40′E﻿ ,Heavy fuel oil,87,2012
Rabai Thermal Power Station,03°56′S 39°40′E﻿ ,Heavy fuel oil,90,2009
Dongo Kundu Thermal Power Station,04°04′S 39°37′E﻿ ,Liquefied natural gas,700,Cancelled 2016
